5,4.989705468,4.747818623,4.989715338,4.651110218,4.996260823,4.796057865,4.95704122,4.816064509,4.905258901,4.98318452
10,9.508865008,9.641428488,9.625228247,9.645488399,9.532085234,9.541453751,9.621014332,9.65788392,9.463686781,9.637358848
15,15.45448794,15.55143707,15.4017303,15.35689325,15.36369125,15.45421665,15.34833333,15.50476559,15.5625198,15.47706766
20,20.59960949,20.60897623,20.4237247,20.63065658,20.55485812,20.53883865,20.62289574,20.57013222,20.53098538,20.4262784
25,25.10050989,25.17073613,25.34613596,25.48420963,25.0434022,25.28072566,25.35762952,25.27263154,25.21633437,25.11345545
30,29.42125293,29.58119632,29.13408743,29.04967411,29.42463954,29.38902786,29.12785738,29.38401195,29.18696461,29.40537932
35,33.48620435,33.59895781,33.62880622,33.52935678,33.04596616,33.29942602,33.6496852,33.08539928,33.23977599,33.11627169
40,38.99495691,38.72550832,38.88672415,39.63809112,39.15925238,38.23864302,38.68941272,38.3603508,39.15469854,38.79005785
45,46.02869741,47.02972755,47.512923,46.96157999,47.70395365,45.95541268,45.87133893,45.90171305,46.30096847,46.6340951
50,47.51477968,47.80393327,48.05529792,48.67389027,47.86660244,48.05966501,48.09191893,46.79863342,46.49443166,49.25325022
55,46.49020431,46.49020431,46.09118696,46.21891783,46.71387238,46.58553716,46.15894306,46.15507679,45.95115496,46.50049384
60,38.55355664,37.67422113,39.22972497,38.86573623,38.24161362,39.30530498,38.07199262,39.27630464,38.30216267,38.03645658
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
